instrumentid,name,description
C-8052,Sumitomo Corporation,
C-4854,Amcor plc,
C-3200,ORIX Corporation,
C-0JYM,Markel Corporation,
C-W1AB,Westinghouse Air Brake Technologies Corporation,
C-88010,"Mitsui Fudosan Co., Ltd.",
C-SC6M,"Sun Communities, Inc.",
C-4902,FUJIFILM Holdings Corporation,
C-AP57,Legal & General Group Plc,
C-0KHE,"PerkinElmer, Inc.",
C-0HR4,CMS Energy Corporation,
C-MPS9,"Monolithic Power Systems, Inc.",
C-0QYB,Wheaton Precious Metals Corp.,
C-0HL5,Ball Corporation,
C-0IID,Telefonaktiebolaget LM Ericsson (publ),
C-0H7S,"Abiomed, Inc.",
C-0O84,DNB Bank ASA,
C-0XI8,STERIS plc,
C-0O76,A.P. Møller - Mærsk A/S,
C-DLMF,Dollarama Inc.,
C-0KGH,"Paycom Software, Inc.",
C-0I2P,"Conagra Brands, Inc.",
C-1JP,"Japan Post Holdings Co., Ltd.",
C-87500,"Dai-ichi Life Holdings, Inc.",
C-A035F,NAVER Corporation,
C-9022,Central Japan Railway Company,
C-HPR6,Horizon Therapeutics Public Limited Company,
C-0GO4,Swedish Match AB (publ),
C-90200,East Japan Railway Company,
C-006461,Larsen & Toubro Limited,
C-9TP,Texas Pacific Land Corporation,
C-SE4Z,Sea Limited,
C-HP8,Haleon plc,
C-28882,Standard Chartered PLC,
C-23080,"Delta Electronics, Inc.",
C-0HPW,"Broadridge Financial Solutions, Inc.",
C-0R0S,Magna International Inc.,
C-FA1,FactSet Research Systems Inc.,
C-0II2,KONE Oyj,
C-0J46,HEICO Corporation,
C-AP76,Rentokil Initial plc,
C-TA,Teck Resources Limited,
C-0HYE,Cincinnati Financial Corporation,
C-0228Q0,Veolia Environnement S.A.,
C-12110,Saudi Arabian Mining Company (Ma'aden),
C-0008A6,Swiss Life Holding AG,
C-0JOI,Jacobs Solutions Inc.,
C-54122,POSCO Holdings Inc.,
C-0K6F,"NetApp, Inc.",
C-0LCX,"Take-Two Interactive Software, Inc.",
C-SF2B0,Santos Limited,
C-80021,Marubeni Corporation,
C-4519,"Chugai Pharmaceutical Co., Ltd.",
C-0IK3,FMC Corporation,
C-0HGC,APA Corporation,
C-162,Sun Hung Kai Properties Limited,
C-0L7F,The J. M. Smucker Company,
C-8802,"Mitsubishi Estate Co., Ltd.",
C-0L7S,"SolarEdge Technologies, Inc.",
C-SGAY,Singapore Telecommunications Limited,
C-0HMZ,W. R. Berkley Corporation,
C-A1TM,Atmos Energy Corporation,
C-0TDG,Sociedad Química y Minera de Chile S.A.,
C-0LD9,Targa Resources Corp.,
C-0U6R,Bunge Limited,
C-23030,United Microelectronics Corporation,
C-187A,"Kweichow Moutai Co., Ltd.",
C-0KBK,Omnicom Group Inc.,
C-0HNC,BioMarin Pharmaceutical Inc.,
C-0LS8,W. P. Carey Inc.,
C-BKLL,Bank Leumi le-Israel B.M.,
C-0LF0,Textron Inc.,
C-UMGN,Universal Music Group N.V.,
C-6970,Kyocera Corporation,
C-RPP6,Royalty Pharma plc,
C-0J71,"J.B. Hunt Transport Services, Inc.",
C-70100,Saudi Telecom Company,
C-0JDP,Iron Mountain Incorporated,
C-RC15,Rogers Communications Inc.,
C-B3BB,"B3 S.A. - Brasil, Bolsa, Balcão",
C-1W3,WSP Global Inc.,
C-0268,SGS SA,
C-23310,Li Ning Company Limited,
C-KER3,Kerry Group plc,
C-4521,"Eisai Co., Ltd.",
C-0TIQ,Fair Isaac Corporation,
C-0R1T,"Expedia Group, Inc.",
C-0L77,"Skyworks Solutions, Inc.",
C-89OT,NatWest Group plc,
C-0I50,Trip.com Group Limited,
C-0QGU,CNH Industrial N.V.,
C-0LEF,"Teradyne, Inc.",
C-0HJR,Avery Dennison Corporation,
C-0HBQ,"Akamai Technologies, Inc.",
C-0I3I,"The Cooper Companies, Inc.",
C-0PMJ,Siemens Healthineers AG,
C-0G6T,Symrise AG,
C-0TD7,"Fomento Económico Mexicano, S.A.B. de C.V.",
C-TB5,Trimble Inc.,
C-3GOP,3i Group plc,
C-0HOT,Booz Allen Hamilton Holding Corporation,
C-0HCK,"Align Technology, Inc.",
C-AC84,Aristocrat Leisure Limited,
C-0J9P,Incyte Corporation,
C-2OF,Coles Group Limited,
C-0QBO,Coloplast A/S,
C-0R18,"Best Buy Co., Inc.",
C-0JSJ,LKQ Corporation,
C-005990,Kubota Corporation,
C-0204J,Publicis Groupe S.A.,
C-AIVF1,Aviva plc,
C-PMTA,PTC Inc.,
C-034D,Howmet Aerospace Inc.,
C-0ILK,"CaixaBank, S.A.",
C-4911,"Shiseido Company, Limited",
C-07G,"FLEETCOR Technologies, Inc.",
C-5008B,Asian Paints Limited,
C-0IIR,"Essex Property Trust, Inc.",
C-0R7R,Svenska Handelsbanken AB (publ),
C-0IDU,EQT Corporation,
C-0J5Z,Hormel Foods Corporation,
C-ABEV,Ambev S.A.,
C-NIO0,NIO Inc.,
C-E1VR,"Evergy, Inc.",
C-N1VR,"NVR, Inc.",
C-0P6E,First Quantum Minerals Ltd.,
C-81131,Unicharm Corporation,
C-0QY4,Las Vegas Sands Corp.,
C-0VQS,Garmin Ltd.,
C-BRO,"Brown & Brown, Inc.",
C-0IIW,"Etsy, Inc.",
C-0H6T,Swedbank AB (publ),
C-0QZQ,CK Hutchison Holdings Limited,
C-L1,Loblaw Companies Limited,
C-32281,HCL Technologies Limited,
C-A100,KB Financial Group Inc.,
C-0J7Q,"Match Group, Inc.",
C-29192,Techtronic Industries Company Limited,
C-0HCT,Alliant Energy Corporation,
C-LDHO,"Leidos Holdings, Inc.",
C-03257,Essity AB (publ),
C-12592,Adani Enterprises Limited,
C-0RH0,NIBE Industrier AB (publ),
C-0220P2,Standard Bank Group Limited,
C-8630,"Sompo Holdings, Inc.",
C-50055,Mahindra & Mahindra Limited,
C-0JR1,Kimco Realty Corporation,
C-2502,"Asahi Group Holdings, Ltd.",
C-096,"HubSpot, Inc.",
C-0R26,Viatris Inc.,
C-PBBA0,Public Bank Berhad,
C-0QPY,Sonova Holding AG,
C-2382,Link Real Estate Investment Trust,
C-0J1U,"Healthpeak Properties, Inc.",
C-0MUM,Edenred SA,
C-0007S2,Toshiba Corporation,
C-S1IV,SVB Financial Group,
C-007590,Power Corporation of Canada,
C-POOL,Pool Corporation,
C-0LBI,Gen Digital Inc.,
C-5325E,Maruti Suzuki India Limited,
C-0QKI,Swisscom AG,
C-0Y9S,Check Point Software Technologies Ltd.,
C-A06C,"Celltrion, Inc.",
C-48650,Suzuki Motor Corporation,
C-LL6,MTN Group Limited,
C-00679,Thales S.A.,
C-09901,Imperial Oil Limited,
C-2U9,"Pinterest, Inc.",
C-ZBRA,Zebra Technologies Corporation,
C-7832,BANDAI NAMCO Holdings Inc.,
C-67620,TDK Corporation,
C-0A0X,Fox Corporation,
C-0I1W,Royal Caribbean Cruises Ltd.,
C-DTAG,Daimler Truck Holding AG,
C-BTC1,Bio-Techne Corporation,
C-000494,ArcelorMittal S.A.,
C-28021,"Ajinomoto Co., Inc.",
C-0010MK,State Bank of India,
C-0QMW,Kuehne + Nagel International AG,
C-62M,Metro Inc.,
C-PPPE,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,
C-10102,Riyad Bank,
C-2GL0,"Gaming and Leisure Properties, Inc.",
C-0R09,Splunk Inc.,
C-0JVD,"Live Nation Entertainment, Inc.",
C-AP9W,"Avantor, Inc.",
C-0242N,Kotak Mahindra Bank Limited,
C-19251,"Daiwa House Industry Co., Ltd.",
C-RIB5,RPM International Inc.,
C-0J66,"Host Hotels & Resorts, Inc.",
C-0LHS,"UDR, Inc.",
C-24120,"Chunghwa Telecom Co., Ltd.",
C-NCSF0,NICE Ltd.,
C-DIPI,"Domino's Pizza, Inc.",
C-50088,ITC Limited,
C-SC5Z,Shaw Communications Inc.,
C-0QMV,Straumann Holding AG,
C-TT71,"Tyler Technologies, Inc.",
C-0HQN,"Cboe Global Markets, Inc.",
C-2503,"Kirin Holdings Company, Limited",
C-J1KH,"Jack Henry & Associates, Inc.",
C-2413,"M3, Inc.",
C-0OF7,"EDP - Energias de Portugal, S.A.",
C-0052W0,Kia Corporation,
C-000531,KBC Group NV,
C-5BK,Bank Hapoalim B.M.,
C-0141V1,"MS&AD Insurance Group Holdings, Inc.",
C-PTEG,Palantir Technologies Inc.,
C-0A00,Akzo Nobel N.V.,
C-0U96,"Everest Re Group, Ltd.",
C-0L7G,Snap-on Incorporated,
C-01331,"Shinhan Financial Group Co., Ltd.",
C-31881,"Otsuka Holdings Co., Ltd.",
C-0KV5,Fairfax Financial Holdings Limited,
C-CCID1,Carlisle Companies Incorporated,
C-0011DJ,"Aeon Co., Ltd.",
C-6920,Lasertec Corporation,
C-5420,Adani Total Gas Limited,
C-QBE,QBE Insurance Group Limited,
C-0QVV,NN Group N.V.,
C-5401W0,Nippon Steel Corporation,
C-4500,"Shionogi & Co., Ltd.",
C-0009C0,Koninklijke Philips N.V.,
C-0JCB,International Paper Company,
C-WEG3,WEG S.A.,
C-0943H0,"Fubon Financial Holding Co., Ltd.",
C-0L9E,"Stanley Black & Decker, Inc.",
C-4GE,"Grupo México, S.A.B. de C.V.",
C-70110,"Mitsubishi Heavy Industries, Ltd.",
C-0JCK,"The Interpublic Group of Companies, Inc.",
C-91,"SECOM CO., LTD.",
C-0H4Q,"Ferrovial, S.A.",
C-0AI3,Carlsberg A/S,
C-0NX3,ASM International NV,
C-NCNY,Nordson Corporation,
C-S4VA,SEGRO Plc,
C-CRL20,"Charles River Laboratories International, Inc.",
C-0JWC,MGM Resorts International,
C-2319,China Mengniu Dairy Company Limited,
C-386,China Petroleum & Chemical Corporation,
C-BMRI,PT Bank Mandiri (Persero) Tbk,
C-20200,ANTA Sports Products Limited,
C-AP26,Bunzl plc,
C-1TU,TransUnion,
C-CLOU2,"Cloudflare, Inc.",
C-0HQW,"C.H. Robinson Worldwide, Inc.",
C-0L1G,"SS&C Technologies Holdings, Inc.",
C-23881,BOC Hong Kong (Holdings) Limited,
C-AXJC,"Equitable Holdings, Inc.",
C-0QO6,Julius Bär Gruppe AG,
C-7309,Shimano Inc.,
C-RXCO,Roblox Corporation,
C-035E,Snap Inc.,
C-2471,Sun Pharmaceutical Industries Limited,
C-32Z,South32 Limited,
C-0JZ1,Masco Corporation,
C-0JVI,Loews Corporation,
C-0QZF,Western Digital Corporation,
C-0K6R,"Neurocrine Biosciences, Inc.",
C-CALX,Camden Property Trust,
C-DIHR,Dr. Ing. h.c. F. Porsche AG,
C-0R14,Galaxy Entertainment Group Limited,
C-0009O0,Schindler Holding AG,
C-0Q4U,Novozymes A/S,
C-0KEZ,Packaging Corporation of America,
C-A205,"Samsung Biologics Co.,Ltd.",
C-0145Q0,Crédit Agricole S.A.,
C-0208K1,"CTBC Financial Holding Co., Ltd.",
C-ELS00,"Equity LifeStyle Properties, Inc.",
C-11133,CK Asset Holdings Limited,
C-38D0,GoDaddy Inc.,
C-49GP,Croda International Plc,
C-A2A00,"Essential Utilities, Inc.",
C-035170,Atlantia SpA,
C-16044,Inpex Corporation,
C-11440,Titan Company Limited,
C-A0352,Kakao Corp.,
C-1088,China Shenhua Energy Company Limited,
C-DOOA,"DoorDash, Inc.",
C-12D,Dell Technologies Inc.,
C-0JUJ,Formula One Group,
C-11090,China Resources Land Limited,
C-0NVC,Danske Bank A/S,
C-0QVI,Worldline SA,
C-2,CLP Holdings Limited,
C-QIBK,Qatar Islamic Bank (Q.P.S.C.),
C-0HTQ,"CarMax, Inc.",
C-0HUR,Celanese Corporation,
C-0A1Z,Newcrest Mining Limited,
C-0M5,"Bill.com Holdings, Inc.",
C-0XVU,"Zscaler, Inc.",
C-8L8,Liberty Broadband Corporation,
C-0HOX,"Boston Properties, Inc.",
C-5392J,Adani Transmission Limited,
C-0I4P,Credit Suisse Group AG,
C-CEBE0,Centrais Elétricas Brasileiras S.A. - Eletrobrás,
C-13011,Formosa Plastics Corporation,
C-0H9G,"Advance Auto Parts, Inc.",
C-11A,Hang Seng Bank Limited,
C-ENQ0,"Entegris, Inc.",
C-0U8N,Credicorp Ltd.,
C-0Y2A,Seagate Technology Holdings plc,
C-0IF3,Eastman Chemical Company,
C-0KKZ,"MongoDB, Inc.",
C-68570,Advantest Corporation,
C-0FL8,Aker BP ASA,
C-F1E0,"Fidelity National Financial, Inc.",
C-2ER,"Caesars Entertainment, Inc.",
C-19282,"Sekisui House, Ltd.",
C-BFJ3,Brambles Limited,
C-0WP,WPP plc,
C-AP82,Smith & Nephew plc,
C-67230,Renesas Electronics Corporation,
C-AFG10,"American Financial Group, Inc.",
C-0K4C,"NRG Energy, Inc.",
C-0HST,Campbell Soup Company,
C-0L3C,"Henry Schein, Inc.",
C-10931,CSPC Pharmaceutical Group Limited,
C-0Q1Q,Globe Life Inc.,
C-1288,Agricultural Bank of China Limited,
C-TCL20,Telstra Corporation Limited,
C-0M9A,Hannover Rück SE,
C-0K87,NiSource Inc.,
C-5020,"ENEOS Holdings, Inc.",
C-7270,Subaru Corporation,
C-0MPT,Brenntag SE,
C-0RLT,Qiagen N.V.,
C-LM03,The Liberty SiriusXM Group,
C-13031,Nan Ya Plastics Corporation,
C-0205X,Teleperformance SE,
C-83091,"Sumitomo Mitsui Trust Holdings, Inc.",
C-28861,"Mega Financial Holding Co., Ltd.",
C-0LBM,Terna - Rete Elettrica Nazionale Società per Azioni,
C-MH00,MarketAxess Holdings Inc.,
C-4680,"OBIC Co.,Ltd.",
C-0P46,Coca-Cola Europacific Partners PLC,
C-0LER,Teva Pharmaceutical Industries Limited,
C-0KS6,"PulteGroup, Inc.",
C-0R35,Cameco Corporation,
C-0QII,Moncler S.p.A.,
C-10601,The Saudi British Bank,
C-H110,Halma plc,
C-0DQ7,Beiersdorf Aktiengesellschaft,
C-RAUO,"Rivian Automotive, Inc.",
C-0KUT,Regency Centers Corporation,
C-LEYS,"LG Energy Solution, Ltd.",
C-000351,Fresenius SE & Co. KGaA,
C-1LNB,Spirax-Sarco Engineering plc,
C-T1FX,Teleflex Incorporated,
C-20025,China Steel Corporation,
C-0008J2,InterContinental Hotels Group PLC,
C-0HEJ,American Homes 4 Rent,
C-FC6A,"First Citizens BancShares, Inc.",
C-0012RG,Logitech International S.A.,
C-C610,Emera Incorporated,
C-0S2J,Impala Platinum Holdings Limited,
C-BCZ2,TELUS Corporation,
C-0043I0,Paramount Global,
C-0NZT,UCB SA,
C-006733,Carrefour SA,
C-0KSJ,"Qorvo, Inc.",
C-0Y5C,Allegion plc,
C-SGL01,Suncorp Group Limited,
C-11501,Alinma Bank,
C-0008B8,The Swatch Group AG,
C-SCGD,Scentre Group,
C-0NIQ,Sartorius Aktiengesellschaft,
C-0NQP,Snam S.p.A.,
C-016Z,"Nomura Holdings, Inc.",
C-0R30,V.F. Corporation,
C-WBS,Webster Financial Corporation,
C-0JPH,"Juniper Networks, Inc.",
C-A012A,"Hyundai Mobis Co.,Ltd",
C-0100R1,Uni-President Enterprises Corp.,
C-0082X0,Erste Group Bank AG,
C-0203B,"Cathay Financial Holding Co., Ltd.",
C-CKHG,Capitec Bank Holdings Limited,
C-0HOU,BorgWarner Inc.,
C-0FC9,MTU Aero Engines AG,
C-0J76,"Huntington Ingalls Industries, Inc.",
C-SAB50,Sonic Healthcare Limited,
C-0RG8,Sartorius Stedim Biotech S.A.,
C-0HKT,BT Group plc,
C-005620,Sasol Limited,
C-CL2B,Computershare Limited,
C-0A2E,China Life Insurance Company Limited,
C-0080O0,Absa Group Limited,
C-BS86,"Burlington Stores, Inc.",
C-CAPC7,CP ALL Public Company Limited,
C-012281,Eurofins Scientific SE,
C-0A2R,PetroChina Company Limited,
C-0EV1,Carnival Corporation & plc,
C-09LN,Gold Fields Limited,
C-0009X3,Koninklijke KPN N.V.,
C-BIO,"Bio-Rad Laboratories, Inc.",
C-0V6,Vistra Corp.,
C-IEA2,Informa plc,
C-0I4X,"Crown Holdings, Inc.",
C-8RC,ARC Resources Ltd.,
C-291A0,China Resources Beer (Holdings) Company Limited,
C-LA1C1,Li Auto Inc.,
C-0YX,Sysmex Corporation,
C-NSCLS,"Nongfu Spring Co., Ltd.",
C-0LW9,WestRock Company,
C-0M3F,"Zendesk, Inc.",
C-0R4Y,"Aena S.M.E., S.A.",
C-9056,Kingspan Group plc,
C-004863,Tata Steel Limited,
C-0010XQ,Boliden AB (publ),
C-J7Z,Jazz Pharmaceuticals plc,
C-28842,"E.SUN Financial Holding Company, Ltd.",
C-0LK3,"Vail Resorts, Inc.",
C-6GI,Entain Plc,
C-R1OL,"Rollins, Inc.",
C-0K2K,Molson Coors Beverage Company,
C-NVA3,PTT Public Company Limited,
C-0Q11,Norsk Hydro ASA,
C-0HD0,Ally Financial Inc.,
C-37530,Nippon Yusen Kabushiki Kaisha,
C-F5J,Mineral Resources Limited,
C-7BL,"Black Knight, Inc.",
C-BB21,Burberry Group plc,
C-0JHU,Porsche Automobil Holding SE,
C-OEL,Origin Energy Limited,
C-0XNH,"DocuSign, Inc.",
C-BKTG,Kuaishou Technology,
C-AAY7,"Annaly Capital Management, Inc.",
C-LRNA0,Localiza Rent a Car S.A.,
C-JS,Smurfit Kappa Group Plc,
C-KYC0,Mondi plc,
C-SGE00,The Sage Group plc,
C-0XH0,Liberty Global plc,
C-0QVF,FinecoBank Banca Fineco S.p.A.,
C-49B0,"BeiGene, Ltd.",
C-0058S2,"ASE Technology Holding Co., Ltd.",
C-SBNY,Signature Bank,
C-O5Q,Owens Corning,
C-0NUX,Prysmian S.p.A.,
C-0R1J,Plug Power Inc.,
C-0GYA,OMRON Corporation,
C-0AK,Aramark,
C-AFK4,ASX Limited,
C-MATB0,Malayan Banking Berhad,
C-0KX9,Robert Half International Inc.,
C-32,The Hong Kong and China Gas Company Limited,
C-90210,West Japan Railway Company,
C-CHEO,Cochlear Limited,
C-83081,"Resona Holdings, Inc.",
C-6DM1,Bangkok Dusit Medical Services Public Company Limited,
C-0IL6,"F5, Inc.",
C-0LHL,Twilio Inc.,
C-A0862,Hana Financial Group Inc.,
C-CDAY0,Ceridian HCM Holding Inc.,
C-AFE60,Airports of Thailand Public Company Limited,
C-03OO,Polski Koncern Naftowy ORLEN Spólka Akcyjna,
C-4528,"Ono Pharmaceutical Co., Ltd.",
C-0I14,Cognex Corporation,
C-NP54,NEXT plc,
C-3659,"NEXON Co., Ltd.",
C-IAII,Itaúsa S.A.,
C-0JTQ,Lear Corporation,
C-0IRN,"Fortune Brands Home & Security, Inc.",
C-0496E,Aegon N.V.,
C-0020J2,Asahi Kasei Corporation,
C-LII10,Lennox International Inc.,
C-GEWL,George Weston Limited,
C-8H1,Hydro One Limited,
C-AFVA0,APA Group,
C-54141,Adani Green Energy Limited,
C-9611,NTT DATA Corporation,
C-ASII3,PT Astra International Tbk,
C-0LWH,Whirlpool Corporation,
C-BC75,Rolls-Royce Holdings plc,
C-53252,UltraTech Cement Limited,
C-005190,Tata Motors Limited,
C-000731,Commerzbank AG,
C-1FIN,"First Financial Holding Co., Ltd.",
C-50076,Nestlé India Limited,
C-2020,SABIC Agri-Nutrients Company,
C-0R78,Tryg A/S,
C-0HBP,H & M Hennes & Mauritz AB (publ),
C-6988,Nitto Denko Corporation,
C-9TF,TFI International Inc.,
C-HAH,James Hardie Industries plc,
C-5328T2,Power Grid Corporation of India Limited,
C-ZECM,ZTO Express (Cayman) Inc.,
C-28991,Zijin Mining Group Company Limited,
C-26880,ENN Energy Holdings Limited,
C-0JSC,"Bath & Body Works, Inc.",
C-0QVU,IMCD N.V.,
C-KNX0,Knight-Swift Transportation Holdings Inc.,
C-5403,Avenue Supermarts Limited,
C-0NNF,Alfa Laval Corporate AB,
C-0LJL,"Universal Health Services, Inc.",
C-5325Q,NTPC Limited,
C-UEUG,United Utilities Group PLC,
C-ZT,ZoomInfo Technologies Inc.,
C-98430,"Nitori Holdings Co., Ltd.",
C-0HCB,Alcoa Corporation,
C-67010,NEC Corporation,
C-28011,Kikkoman Corporation,
C-0005Q7,Sodexo S.A.,
C-688,China Overseas Land & Investment Limited,
C-IAG2,Insurance Australia Group Limited,
C-72010,"Nissan Motor Co., Ltd.",
C-0J3K,"Hasbro, Inc.",
C-0MH1,Bureau Veritas SA,
C-0CX9,Stora Enso Oyj,
C-5880,"Taiwan Cooperative Financial Holding Co., Ltd.",
C-0MCJ,Svenska Cellulosa Aktiebolaget SCA (publ),
C-0003F8,Groupe Bruxelles Lambert SA,
C-5802,"Sumitomo Electric Industries, Ltd.",
C-STP,Severn Trent Plc,
C-532960,Bajaj Finserv Ltd.,
C-CFMEL,CIMB Group Holdings Berhad,
C-0QYK,"Wynn Resorts, Limited",
C-BSLFL,Suzano S.A.,
C-AEHN,AerCap Holdings N.V.,
C-HLRT,Healthcare Realty Trust Incorporated,
C-OTEX,Open Text Corporation,
C-0069C0,Eiffage SA,
C-62010,Toyota Industries Corporation,
C-13262,Formosa Chemicals & Fibre Corporation,
C-0008X3,Exor N.V.,
C-0RFL,VAT Group AG,
C-0182U,Alstom SA,
C-0Z4I,Sunny Optical Technology (Group) Company Limited,
C-751A,Algonquin Power & Utilities Corp.,
C-ESCW0,Exact Sciences Corporation,
C-0L7A,A. O. Smith Corporation,
C-3U6,UGI Corporation,
C-0RT6,"Franklin Resources, Inc.",
C-61410,Disco Corporation,
C-0C8,"Catalent, Inc.",
C-88300,"Sumitomo Realty & Development Co., Ltd.",
C-NF0H,Northern Star Resources Limited,
C-80151,Toyota Tsusho Corporation,
C-0O7D,Yara International ASA,
C-0000N7,Jardine Matheson Holdings Limited,
C-IFV30,Intertek Group plc,
C-5713,"Sumitomo Metal Mining Co., Ltd.",
C-KH04,KE Holdings Inc.,
C-6006B0,"Haier Smart Home Co., Ltd.",
C-000373,Umicore SA,
C-0HXB,Tenaris S.A.,
C-0135V,KT&G Corporation,
C-5I7,Israel Discount Bank Limited,
C-AP68,Pearson plc,
C-3007P0,"Contemporary Amperex Technology Co., Limited",
C-22670,"Yakult Honsha Co.,Ltd.",
C-0MG2,HeidelbergCement AG,
C-33620,"Mitsui O.S.K. Lines, Ltd.",
C-0YZ2,Geely Automobile Holdings Limited,
C-BN41,Keppel Corporation Limited,
C-0Y5X,Pentair plc,
C-BSIH,"Bentley Systems, Incorporated",
C-0NZR,Solvay SA,
C-0KB7,"Okta, Inc.",
C-A0285,Samsung C&T Corporation,
C-0NI1,Rheinmetall AG,
C-0H6X,Telia Company AB (publ),
C-7272,"Yamaha Motor Co., Ltd.",
C-DTV9,"Dynatrace, Inc.",
C-0L66,Sibanye Stillwater Limited,
C-4307,"Nomura Research Institute, Ltd.",
C-0P72,Getlink SE,
C-0I0H,Cleveland-Cliffs Inc.,
C-02KG,St. James's Place plc,
C-ADCB,Abu Dhabi Commercial Bank PJSC,
C-0HFY,AngloGold Ashanti Limited,
C-0HI1,"Arrow Electronics, Inc.",
C-A0961,"SK Innovation Co., Ltd.",
C-5327O1,Tech Mahindra Limited,
C-BHEU,CapitaLand Integrated Commercial Trust,
C-0JZZ,"Medical Properties Trust, Inc.",
C-5871,Chailease Holding Company Limited,
C-0I8Y,Elisa Oyj,
C-72021,Isuzu Motors Limited,
C-0L4F,Sealed Air Corporation,
C-0MKH,OMV Aktiengesellschaft,
C-0NBD,Heineken Holding N.V.,
C-JHIR,JD Health International Inc.,
C-0QO7,Barry Callebaut AG,
C-65060,YASKAWA Electric Corporation,
C-NVAQ,The Siam Cement Public Company Limited,
C-NVA0,PTT Exploration and Production Public Company Limited,
C-RHC2,Ramsay Health Care Limited,
C-1992,Wharf Real Estate Investment Company Limited,
C-1NR,Northland Power Inc.,
C-038,NovoCure Limited,
C-0H13,AB Industrivärden (publ),
C-0RI5,"Red Eléctrica Corporación, S.A.",
C-QS2A,Smiths Group plc,
C-0057R2,LG Electronics Inc.,
C-9531,"Tokyo Gas Co.,Ltd.",
C-004464,Bouygues SA,
C-0239O0,"Toray Industries, Inc.",
C-66,MTR Corporation Limited,
C-G84,Generac Holdings Inc.,
C-0RBE,Covestro AG,
C-6EQ,EQT AB (publ),
C-SEIC0,SEI Investments Company,
C-89510,Nippon Building Fund Incorporation,
C-1YQ,SIG Group AG,
C-9ST0,Sensata Technologies Holding plc,
C-HY70,Shoprite Holdings Ltd,
C-EBU0,Erie Indemnity Company,
C-US99,Unity Software Inc.,
C-0RTC,Delivery Hero SE,
C-0HIN,"Assurant, Inc.",
C-11401,Bank Albilad,
C-EMAA0,Emaar Properties PJSC,
C-77010,Shimadzu Corporation,
C-0051G1,Hindalco Industries Limited,
C-540D,SBI Life Insurance Company Limited,
C-4324,Dentsu Group Inc.,
C-0HBA,Electricité de France S.A.,
C-8697,"Japan Exchange Group, Inc.",
C-EBI4,Emirates NBD Bank PJSC,
C-1C9,CCL Industries Inc.,
C-CAE,CAE Inc.,
C-0G8C,Telenor ASA,
C-004991,"SM Prime Holdings, Inc.",
C-0K7U,News Corporation,
C-FPH0,Fisher & Paykel Healthcare Corporation Limited,
C-0K0E0,Continental Aktiengesellschaft,
C-9042,"Hankyu Hanshin Holdings, Inc.",
C-0ML1,"EDP Renováveis, S.A.",
C-0QXN,Zalando SE,
C-6963,"ROHM Co., Ltd.",
C-69610,Hamamatsu Photonics K.K.,
C-0KXI,"Roku, Inc.",
C-3637,Trend Micro Incorporated,
C-6,Power Assets Holdings Limited,
C-10503,Banque Saudi Fransi,
C-5000N0,Cipla Limited,
C-0A0T,"CEMEX, S.A.B. de C.V.",
C-0QOG,Swiss Prime Site AG,
C-0QQ3,Bâloise Holding AG,
C-0NW2,Randstad N.V.,
C-4689,Z Holdings Corporation,
C-0SGO,"Dropbox, Inc.",
C-23280,PICC Property and Casualty Company Limited,
C-IQCD,Industries Qatar Q.P.S.C.,
C-0I8F,DENTSPLY SIRONA Inc.,
C-TLRC,The Lottery Corporation Limited,
C-0MR6,Chr. Hansen Holding A/S,
C-0HAH,Fortum Oyj,
C-50768,Wipro Limited,
C-0A2I,H World Group Limited,
C-18780,"Daito Trust Construction Co.,Ltd.",
C-0051Y0,Dr. Reddy's Laboratories Limited,
C-0AH3,Great-West Lifeco Inc.,
C-0NWW,AB SKF (publ),
C-27MA,Melrose Industries PLC,
C-0JZ2,Masimo Corporation,
C-28853,"Yuanta Financial Holding Co., Ltd.",
C-36261,TIS Inc.,
C-0UAN,Invesco Ltd.,
C-34KQ,Associated British Foods plc,
C-009092,Mowi ASA,
C-4T0,Tradeweb Markets Inc.,
C-36391,Pan Pacific International Holdings Corporation,
C-14T,Toromont Industries Ltd.,
C-41880,Mitsubishi Chemical Group Corporation,
C-A17U,CapitaLand Ascendas REIT,
C-0067S2,Unibail-Rodamco-Westfield SE,
C-2UA,Auto Trader Group plc,
C-SAP,Saputo Inc.,
C-CILT3,CapitaLand Investment Limited,
C-00521,Vivendi SE,
C-CN9G,CyberArk Software Ltd.,
C-AN14,Antofagasta plc,
C-SNEA,Siemens Energy AG,
C-30085,"LARGAN Precision Co.,Ltd",
C-0NQC,Pandora A/S,
C-22800,JSW Steel Limited,
C-EGLX,Endeavour Group Limited,
C-CG21,"Coinbase Global, Inc.",
C-50529,Eicher Motors Limited,
C-0HAC,"ACS, Actividades de Construcción y Servicios, S.A.",
C-0A0Z,Gerdau S.A.,
C-5407C1,HDFC Life Insurance Company Limited,
C-CF9X,"Canadian Tire Corporation, Limited",
C-01T,Tokyu Corporation,
C-3IH,ICL Group Ltd,
C-26010,"China Pacific Insurance (Group) Co., Ltd.",
C-0MPJ,GEA Group Aktiengesellschaft,
C-0206Q,Renault SA,
C-99620,MISUMI Group Inc.,
C-T7W0,Treasury Wine Estates Limited,
C-11014,Taiwan Cement Corp.,
C-0EH5,Fresenius Medical Care AG & Co. KGaA,
C-85450,Whitbread plc,
